nume,sugestie
Comutator contact portiera,Comutator avertizare ușa deschisă
comutator cutie de transfer,
Comutator deschidere haion,
Comutator far,Bloc lumini
Comutator haion,
comutator incalzire luneta,Buton comanda încalzire luneta
comutator incalzire scaune,Buton comanda încalzire scaun
comutator intermitenta stergator parbriz,Buton frecventa stergatoare
comutator lampa marsalier,Sonda mers înapoi
comutator lumini de avarie,Buton lumini avarie
Comutator lumini frana,Comutator pedala frâna lumini stop
comutator macara geam,Buton geam electric
comutator pornire,"Contact pornire, doar partea electrică"
comutator presiune,
Comutator presiune aer conditionat,
comutator presiune control incarcare ax,
comutator presiune hidraulica frana,
comutator presiune ulei servodirectie,
Comutator proiector ceata,Buton proiectoare ceață
Comutator reglaj oglinda,Buton reglaj oglinzi
Comutator sistem inchidere,Buton blocare/deblocare uși
comutator stergator,Maneta ștergătoare
Comutator temperatura racire,Termocupla ventilator răcire motor
Comutator temperatura ventilator aer conditionat,
Comutator temperatura ventilator radiator,Termocupla ventilator răcire motor
Comutator trapa pavilion,Buton acționare trapă
comutator ventilator incalzire ventilatie,Buton pornire ventilație
condensator aprindere,
condensator climatizare,Radiator (condensator) aer condiționat din compartimentul motor
conducta,
conducta admisie,Tubulatura admisie aer motor
Conducta admisie pompa ulei,
conducta alimentare cu combustibil,
conducta de inalta presiune inst de injectie,
conducta dispozitiv de basculare cabina,
conducta inalta presiune aer conditionat,
conducta joasa presiune aer conditionat,
Conducta legatura injector,Conducta injector
conducta presiune variabila aer conditionat,
conducta regenerare filtru particule,
conducta schimbator caldura incalzire,conducta/furtun calorifer încălzire (schimbator caldura)
conducta tubulara supapa agr,Coducta gaze EGR
conducta ulei incarcare,
conducta uscator de aer,
Conducte ambreiaj,
Conducte frana,
conducte retarder,conducte retarder transmisie camion
Conector teava sistem de esapament,Conector țevi eșapament
conexiune test,
Contact principal baterie,
Control clapeta acceleratie,
control maner usa,
controler inaltime suspensie,Senzor nivel suspensie reglabilă
Convertizor presiune galerie admisie,
convertor de presiune turbocompresor,
Convertor presiune,
Convertor presiune esapament,
coroana dintata volanta,
corp ax,
cric hidraulic,
culbutor supapa,
Culbutor tren supape,
cupla magnetica climatizare,Cuplaj magnetic pentru fulia compresorului de aer condiționat
cupla ventilator radiator,Cuplaj vâscos (vâscocuplaj) ventilator răcire motor
cuplaj conducta lichid,
Cuplaj conducta lichid racire,
cuplaj unisens demaror,Bendix electromotor
cuple distribuitor sistem injectie,
curatare filtru de particule,Soluție? Aditiv? Curatare filtru de particule
Curea de distributie,Curea de distributie (dințată)
curea intinzator,
Curea transmisie,Curea accesorii (agregate)
Curea transmisie cu caneluri,Curea accesorii (agregate) 
curele de transmisie,Curea accesorii (agregate) 
cutie cu sigurante,Panou siguranțe electrice și relee
cuzinet stabilizator,Bucșa bara stabilizatoare
dalta,
deflector de aer,
Deflector de aer motor,
disc ambreiaj,
disc de antrenare mecanism de antrenare pompa injectie,
disc dintat cutie de viteze planetara,
disc frana,
disc stop ambreiaj,
dispersor iluminare numar circulatie,dispersor lampa numar circulatie
dispersor lampa spate,
dispersor semnalizator,
dispozitiv de montare curea dintata,
dispozitiv de montare curea transmisie,
dispozitiv de verificare sincronizare carburator,
distantier,
distantier suport amortizor,
distribuitor t combustibil,
diuza spalare faruri,
diuza spalare parbriz,
diuza ulei racire fusta piston,diuza racire fusta pistonului cu ulei
Dop antianghet,
dop filetat,
dop gaura de montaj ax culbutori,
dorn,
dorn de nchidere broasc u,
dulie,
dulie far,
dulie piesa electrica universala,
electromotor macara geam,Motoras electric pentru macara geam 
Electromotor ventilatie interioara,"Ventilator bord, Suflanta ventilaie interioara"
Element actionare etrier frana de parcare,Motoras electric actionare etrier
element de control aer conditionat,
Element de fixare capac motor,
element de reglaj faruri,Motoras electric reglaj far
element de reglaj regaj scaun,Motoras electric reglaj scaun
element de reglare clapet rezervor,"Motoras electric deschidere/închidere ușița rezervor, actuator"
Element de reglare clapeta carburator,"Motoras electric dirijare aer ventilație interioară, motoraș clapetă aerotermă"
element de siguranta ernst,
element filtrant uscator aer compresor,"Filtru desicator, uscător aer instalație aer camioane"
element lant lant de distributie,element lant de distributie
Element reglaj clapeta galerie admisie,Element reglaj clapeta galerie admisie
element reglaj inchidere centralizata,Motoras electric (actuator) închidere centralizată
element reglaj oglinda exterioara,Motoras electric (actuator) mișcare sticla oglindă
Elemente decorative protectie aripa,Bandouri
Elemente decorative protectie bara protectie,Bandouri
Elemente decorative protectie panou lateral,Bandouri
elemente decorative protectie portiera,Bandouri
Etan are carcas clapet,Garnitură 
etansare capac ax came frana,Garnitură sistemul de frână pentru camioane
etansare filtru ulei,Garnitură filtru ulei
etansare intercooler,Gaarnitură intercooler
etansare intrare turbina compresor,Garnitură intrare turbina compresor
Etansare pompa ulei,Garnitură pompa ulei
Etansare racire ulei,Garnitură racire ulei
Etansare rezervor,Garnitură rezervor
etansare set garnituri,Set garnituri
etansare supape,Simering supapa
etansare suport injector,Garnitură suport injector
etansare ulei transmisie manuala,Simering ulei transmisie manuala
etrier frana,
evaporator aer conditionat,Radiator aer condiționat din bord (evaporator)
extractor articulatie sferica,
extractor de surub,
far,
Faruri de curba AFS,
filtru aditiv,filtru aditiv filtru de particule pentru camioane
Filtru aer,
filtru aer admisie compresor,filtru aer admisie compresor pentru sistemul de frânare al camioanelor
filtru aer habitaclu,Filtru polen
Filtru aer secundar,
filtru aerisire bloc motor,Filtru epurator
filtru agent frigorific,
filtru combustibil,
Filtru funingine particule sist de esapament,Filtru funingine particule DPF
filtru furtun subpresiune,
filtru hidraulic cuplare cu lamele trac iune integral,filtru hidraulic cuplare cu lamele tracțiune integrală pentru camioane
Filtru hidraulic cutie de viteze automata,
filtru hidraulic sistem directie,
filtru legatura sistem pneumatic,filtru legatura sistem pneumatic pentru camioane
filtru sistem hidraulic primar,
filtru ulei,
fisa bujii,
Fixare usa,Opritor ușă
Flansa carburator,
flansa incalzire preancalzitor aer admisie,Conducta aer motor
Flansa injectie monopunct,
Flansa lichid racire,
folie antizgomot placute de frana suport,
fulie alternator,
Fulie curea arbore cotit,
Fulie pompa apa,
Fulie pompa servo,Fulie pompa servodirectie
Furca decuplare ambreiaj,
furtun,
furtun aerisire bloc motor,
Furtun aerisire chiulasa,
furtun aerisire rezervor egalizare,Furtun apă vas expansiune
furtun alimentare aer,
furtun ambreiaj,
furtun combustibil,
furtun ear supraalimentare,furtun aer turbo 
furtun flexibil sistem de esapament,racord  flexibil eșapament
furtun frana,
Furtun hidraulic sistem de directie,Furtun servodirectie
furtun nc lzire,Furtun apă
furtun radiator,Furtun apă radiator
furtun supracurgere combustibil,Furtun retur combustibil
furtun ulei,
furtun vacuum sistem de franare,furtun vacuum sistem de franare
furtunspirala,Furtun aer spiralat pentru camioane
Galerie sistem de esapament,Galerie evacuare
garnit etans evac ulei compresor,Garnitură 
garnit etansare arbore servopompa,Simering ax pompa servodirecție
garnit etansare capac carter motor,Garnitură capac motor
garnit etansare lagar axial sprijin arc,
Garnitura,
garnitura arbore intermediar,
Garnitura baie ulei,
Garnitura capac alimemtare ulei,
garnitura capac axa,
garnitura capac distributie,
garnitura capac supape,
Garnitura Carcasa galerie admisie,
garnitura carcasa termostat,
garnitura caseta directie,
garnitura chiulasa,
garnitura conducta lichid de răcire,
garnitura cutie,
garnitura distributie,
garnitura etans compresor,
garnitura etansare arbore arbore de antrenare ppa ulei,
garnitura filtru combustibil,
garnitura fixare amortizor cabina conducator,
garnitura flansa curatator centrifugal,
garnitura flansa lichid racire,
garnitura galerie admisie,
garnitura galerie evacuare,
Garnitura Intinzator lant de distributie,
garnitura luneta,
garnitura parbriz,
garnitura piston etrier,
Garnitura pompa combustibil,
garnitura pompa de apa,
Garnitura pompa injectie,
Garnitura pompa rezervor spalare parbriz,
Garnitura pompa vacuum,
garnitura racord admisie combustibil,
garnitura racord evacuare,
garnitura suport stabilizator cabina conducator,
Garnitura suruburi capac supape,
Garnitura termostat,
garnitura vana ulei cutie viteza automata,
Garnitura ventil AGR,
Garnituri carcasa filtru ulei,
generator alternator,
ghid supapa,
ghidaj cu role usa glisanta,
ghidaje lant distributie,
ghidon,
grila radiator,
grila ventilatie bara protectie,grila bara protectie
head up display,
husa scaun,
husa volan,
iluminare numar de circulatie,
in de ghidare u glisant,șină de ghidare ușă glisantă
inbinare cablu,
inbinare tubulatura aer comprimat,Mufă conectare (inbinare) tubulatura aer comprimat
incalzire unitate rezervor injectare aditiv,
Inchizator capota motor,Broasca capota motor
Incuietoare capota portbagaj,Broasca capota portbagaj
Incuietoare haion,Broasca haion
Incuietoare torpedou,Broasca torpedou
incuietoare usa,Broasca usa
incuietoare usa cabina soferului,Broasca  usa cabina camion
indicator uzura placute frana,
inel aerisire,
inel de centrare janta,
inel de etansare,Simering
inel de etansare butuc roata,Simering butuc roata
inel de etansare compresor,Simering compresor
Inel de etansare maneta schimbator viteze,Simering maneta schimbator viteze
inel de etansare saboti frana,Simering saboti frana
inel de ghidare arbore cotit,
inel de ghidare butuc roata,
inel de siguranta,
inel distantier,
inel etansare antrenare taho,
inel etansare articulatie ax,
inel etansare ax came frana,
inel etansare ax pompa apa,
inel etansare brat oscilant,
inel etansare caseta directie,
inel etansare compresor,
Inel etansare furtun aer supraalimentare,
Inel etansare furtun lichid racire,
inel etansare galerie evacuare,
Inel etansare injector,
inel etansare intinzator lant distributie,
inel etansare locas bujie,
inel etansare mecanism planetar butuc roata,
Inel etansare pompa injectie,
Inel etansare radiator ulei,
inel etansare surub drena ulei,
inel etanzare ax lagarul de decuplare al arborelui,inel etanșare ax lagarul de decuplare al arborelui
inel retinere janta,
Inel rulment sarcina amortizor,
inel senzor,
Inel senzor ABS,
inel siguranta,
inel siguranta bolt rola saboti frana,
Injector,
intercooler compresor,
Intinzator curea curea distributie,intinzator curea distributie
intinzator curea distributie,
intinzator curea transmisie,Întinzător curea accesorii (agregate)
Intinzator lant antrenare pompa ulei,
intinzator lant distributie,
Intrerupator control automat al vitezei,
Intrerupator lumina de pozitie,
ionizator aer,
Janta aliaj,
Janta tabla otel,
joja ulei,joja ulei motor
joja ulei cutie automata,
kit de etansare kit de etansare pneuri,
kit de montaj cilindru fr n cu membran,kit de montaj cilindru frână camion cu membrană
Kit de reparat faruri principale suport,kit reparație urechi prindere far
kit repar cabluri ventilat habitaclu sist preincalz motor,
lacat lant lant distributie,lacat lanț distributie
lagar,
Lagar antrenare demaror,
lagar articulat amortizor cabina conducator,
lagar central cardan,Rulment cardan
Lagar cutie de viteza,Rulment cutie de viteza
lagar fixare ax,ok
Lagar intermediar ax cardanic,Rulment intermediar planetară
lagar levier ambreiaj,
lagar stergator,Bucșă ștergător
lagar suport arc,
Lagar suport ax,
Lagar ventilator racire motor,
lama stergator universala,
lamela stergator,
lampa de mana,
lampa laterala,
Lampa mers inapoi,
Lampa spate,
Lant angrenare pompa ulei,
lant distributie,
lanturi carpriss,Lanturi antiderapante
latire aripa,Bandouri
Legaturi stergator parbriz,"Ansamblu tije ștergător parbriz, Timonerie ștergătoare"
lentila far,Dispersor (lentila) far
levier control coloana directie,Levier intermediar directie ( semicaseta direcție )
levier de schimbare viteze,
levier intermediar directie,Levier intermediar directie ( semicaseta direcție )
lichid de frana,
lichid de parbriz,
lichid de parbriz iarna,
Limitator acoperire motor,
limitator brat axa,
Locas filtru combustibil,
Locas filtru ulei,Carcasă (corp) cartuș filtru ulei motor
lubrifiant pol baterie,Vaselină borne acumulator
lubrificant pentru temperaturi mari,
lubrificant siliconic,
lumina avertizare schimbare banda de mers,Indicator luminos în oglinda laterală
lumina de ceata spate,Lampa ceață spate
lumina de lucru,
lumini de zi,
lumini interioare,
maciulie maneta schimbat vit,Ornament nuca schimbător viteze
Man on rep arbore ie ire cut cutie de vit interm,
Maner capota portbagaj,
maner inchidere capota motor,
maner usa,maner exterior ușa
Maner usa echipare interioara,
manivela geam,
Manseta ax cardanic,
manson cauciuc bobina,
manson cauciuc bujie,
manson cauciuc distribuitor,
manson maneta scimbare viteze,Husa schimbător viteze
Material amortizare zgomot nisa motor,Insonorizant montat pe scutul motor
material de etansare,
material etansare radiator,
mecanism actionare geam,
mecanism inchidere capota fata,Broasca capota motor
mecanism stergator parbriz,
Mecanism tensionare curea distributie,întinzător curea distributie
mechatronic cutie automata,
Membrana aerisire carcasa arbore cotit,
membrana carburator,
membrana cilindru frana,membrana cilindru frâna camion
Membrana pompa vacuum,
menivela volan butuc maneta volan,Mâner (nuca) montată pe volan
Miez supapa supapa service,Ventil/Supapa instalație climatizare
Miner haion,
Modul alimentare combustibil,Pompa combustibil din rezervor
modul conducta admisie,Galerie admisie
Modul EGR,Supapa EGR
Modul racire,Radiator răcire motor cu condensator (monobloc)
Modul semnalizare,Releu semnalizare
montant generator,Bucșă montare alternator
motor electric ventilator,
motor stergator,
mufa ambreiaj flexibila,Mufa ambreiaj flexibila
nit,
nit de desfacere,Clipsuri auto
nit material frictiune saboti frana,
Oala spiralata pompa combustibil,Pompa combustibil din rezervor
odorizant,
oglinda exterioara,oglinda exterioara
oglinda exterioara cabina,oglinda exterioara cabina camion
oglinda fata cabina sofer,oglinda fata cabina șofer camion
oglinda rampa,oglinda rampa pentru camion
Oglinda retrovizoare interioara,Oglinda retrovizoare interioara
Oglinda sticla,oglinda sticla
oglinda unghi indepartat,oglinda unghi indepartat
opritor injectie,Electrovalvă oprire motorină
pachet arc cu foi,Arcuri foi
PACHET REVIZIE,
paleta ventilator racire motor,
palnie filtru de aer,Tubulatura admisie aer motor
Palnie joja ulei,
panou lateral,Paou lateral caroserie
panou spate,panou spate caroserie
parasolar,
pasta de montaj,
pasta hidraulica frana ambreiaj,
Pedala acceleratie,
perie spalat auto,
perna aer podea de incarcare portbagaj,
piedica roata,
piesa alunecare,
piesa de legatura conducta de frana,
piese apasare supapa admisie evacuare,
pinion electromotor,Bendix electromotor
pinion pompa ulei,
Piston,piston motor 
piston cilindru frana,piston cilindru frana
Piston etrier frana,Piston etrier frana
piston perna de aer,
piulita,
piulita arbore principal al transmisiei,
piulita articulatie sarcina ghidare,
piulita ax,
Piulita ax planetara,Piuliță planetară
piulita crenelata,
piulita de tensionare suport jiglor,
piulita galeria de evacuare,
piulita pentru brida,
piulita roata,piulita roata
pivot,pivot
Placa de presiune ambreiaj,placa presiune ambreiaj
placa presiune ambreiaj,placa presiune ambreiaj
Placa suport flansa arbore antrenare,
placuta de asigurare articulatie de sarcina,placuta de asigurare pivot
Placuta de asigurare articulatie de sarcina ghidare,placuta de asigurare pivot
planetara,
Podea,Podea caroserie
pomp basculare cabin ofer,
pomp de ap auxiliar,pomp de apă auxiliară
Pomp de ap auxiliar agregat nc lzire suplimentar,pomp de apă auxiliară pentru webasto
Pompa aer secundara,
pompa amorsare,pompa amorsare motorină
pompa apa,pompa apa
Pompa apa Set curea transmisie cu caneluri,Set curea și role accesorii + pompa apă
Pompa apa suplimentar,Pompa apa suplimentară
pompa centrala ambreiaj,pompa centrala ambreiaj
Pompa centrala frana,Pompa centrala frana
pompa combustibil,pompa combustibil
pompa de apa instalatia de incalzire independenta,pompa de apa instalatia de incalzire independenta
pompa de apa spalare faruri,pompa de apa spalare faruri
pompa de apa spalare parbriz,pompa de apa spalare parbriz
pompa de inalta presiune,Pompa de injecție
pompa hidraulica sistem de directie,Pompa servodirecție
pompa incarcare golire universala,
Pompa ulei,Pompa ulei motor
Pompa ulei cutie de viteza,Pompa ulei cutie de viteza
pompa vacuum sistem de franare,pompa vacuum sistem de franare
Portlag r arbore cu came,
pozitie pedala pedala ambreiaj,Senzor pozitie pedala ambreiaj
preducea rotunda,
prevent,
pro,
produse de curatare a,
produse intretinere componente cauciuc,
produse intretinere materiale plastice,
Proiector ceata,
protectie fisa bobina aprindere,
protectie stropire disc frana,Tablă protecția stropire disc frana
protectie termica,
punct de sprijin cric,
punte culbutor,
Punte diode,
racleta curatat,
racord evacuare,Țeavă eșapament
